set,subject,mae,rmse,psnr,ssim,in_mae,in_rmse,in_psnr,in_ssim
test,0004,0.00011009127792579863,0.0008523564923615069,44.21635914797179,0.9899996191485843,0.003336902467660701,0.008048379183731557,23.923290908674108,0.5689018660731473
test,0006,4.5275568925949804e-05,0.0003259214516759812,53.56868461675023,0.9926245287053479,0.0015719307295249134,0.004196649351247049,29.540961509791416,0.7305819793362739
test,0007,0.00011127324946239756,0.000550801327090324,50.34956813798009,0.9908739628280795,0.003979263925478,0.009174396985863018,25.656507726861737,0.5868213473994441
test,0014,0.0001396858015208648,0.0008793557122221261,44.6713715200321,0.9874376885576861,0.003886975924950476,0.009136203692545869,23.78777792274955,0.5602937263585385
test,0016,0.0001361145717124289,0.0007317384853781492,46.87384101206657,0.9884283098866598,0.003832473856307747,0.008832801984298337,24.582180441959764,0.5648445313321947
test,0017,0.00011425189620470782,0.0006440709879777722,47.782570186497445,0.9904086799792655,0.003844618980350022,0.008970022022894179,24.58127372858414,0.5712208769715695
test,0020,0.00012003908837701784,0.0007137569818513761,46.91259534976644,0.9900917687987201,0.004395865215189444,0.010368167056329088,23.308034886197394,0.577179754840625
test,0034,0.00010722713594079,0.000601880733705385,49.64345020300177,0.9920647107087973,0.003954231512101327,0.0092424404191613,24.945090693244715,0.6004456480945052
test,0037,9.894829194934118e-05,0.000896985535052265,48.09409541450897,0.9958557789754344,0.0012352739010901516,0.0033178979159090793,33.4348481109987,0.7803002143122899
test,0042,0.0001227947830259561,0.0007113029261482121,52.185660057804434,0.9938528399624392,0.003280475048612923,0.007787793077831769,30.25616641526607,0.6734865424578149
test,0061,0.00015275824218793774,0.0006905282282182748,50.985311981124866,0.9881147405725837,0.003804183270164542,0.008547732932607974,27.685170472045133,0.6076879213762469
